        Phase Fraction  Guess for r  Count
531  0.688477  137/199          199      1
532  0.691406  121/175          175      3
533  0.692871   97/140          140      1
534  0.695801  167/240          240      1
535  0.697266   76/109          109      2
536  0.697754  157/225          225      1
537  0.703125    45/64           64      1
538  0.703613  178/253          253      2
539  0.705078  153/217          217      1
540  0.705566  127/180          180      1
541  0.706055  173/245          245      2
542  0.707031  111/157          157      1
543  0.707520  179/253          253      1
544  0.708984  134/189          189      3
545  0.716309  101/141          141      2
546  0.717773  117/163          163      1
547  0.718262  181/252          252      1
548  0.718750    23/32           32      1
549  0.721191  119/165          165      1
550  0.722656   99/137          137      1
551  0.725098  182/251          251      2
552  0.725586  156/215          215      1
553  0.727539  179/246          246      1
554  0.728027  174/239          239      2
555  0.730957  144/197          197      2
556  0.732910  118/161          161      1
557  0.733398    11/15           15      1
558  0.733887   91/124          124      1
559  0.734375    47/64           64      1
560  0.735840    39/53           53      1
561  0.737305   87/118          118      1
562  0.738281  110/149          149      1
563  0.738770  181/245          245      1
564  0.741211  169/228          228      1
565  0.741699  112/151          151      1
566  0.742676  127/171          171      1
567  0.743164  136/183          183      1
568  0.743652  177/238          238      1
569  0.745605   85/114          114      1
570  0.746582  109/146          146      2
571  0.747070  127/170          170      3
572  0.747559   77/103          103      1
573  0.748047   95/127          127      1
574  0.749023  191/255          255      2
575  0.750488      3/4            4      1
576  0.752441  155/206          206      1
577  0.753418    55/73           73      1
578  0.753906  144/191          191      1
579  0.754395    43/57           57      3
580  0.756836  193/255          255      2
581  0.757324  181/239          239      1
582  0.757812   97/128          128      1
583  0.758301  160/211          211      2
584  0.759766  136/179          179      1
585  0.760742  124/163          163      1
586  0.761230  169/222          222      1
587  0.763184    29/38           38      2
588  0.764160   81/106          106      1
589  0.765137  101/132          132      3
590  0.767090  191/249          249      1
591  0.767578  142/185          185      1
592  0.768066  149/194          194      2
593  0.769043  193/251          251      1
594  0.770020   77/100          100      1
595  0.774902  179/231          231      1
596  0.776367  184/237          237      1
597  0.777344  192/247          247      1
598  0.780762  146/187          187      2
599  0.781738  197/252          252      1
600  0.783203  112/143          143      1
601  0.784668  164/209          209      1
602  0.787109  122/155          155      1
603  0.790527  117/148          148      1
604  0.791016    53/67           67      2
605  0.791992   99/125          125      2
606  0.792969  180/227          227      1
607  0.793945  131/165          165      1
608  0.794434  143/180          180      1
609  0.796387  176/221          221      2
610  0.796875    51/64           64      1
611  0.797363  181/227          227      1
612  0.797852    75/94           94      1
613  0.798340  194/243          243      2
614  0.801758  182/227          227      1
615  0.802246  142/177          177      1
616  0.802734  118/147          147      1
617  0.806641  146/181          181      1
618  0.808105    80/99           99      1
619  0.810059  145/179          179      1
620  0.810547    77/95           95      1
621  0.811523  155/191          191      1
622  0.816895    58/71           71      1
623  0.819336  195/238          238      2
624  0.820801  142/173          173      1
625  0.822266    37/45           45      1
626  0.823730  201/244          244      2
627  0.824707  207/251          251      1
628  0.825195  203/246          246      1
629  0.827148    67/81           81      2
630  0.828125    53/64           64      1
631  0.828613    29/35           35      1
632  0.829102  131/158          158      1
633  0.831055  182/219          219      1
634  0.833008      5/6            6      1
635  0.834473  121/145          145      1
636  0.834961   86/103          103      1
637  0.837402  103/123          123      1
638  0.839355  209/249          249      1
639  0.840820  206/245          245      2
640  0.841309  175/208          208      1
641  0.841797  149/177          177      3
642  0.842285  203/241          241      1
643  0.842773  134/159          159      1
644  0.844238  168/199          199      1
645  0.845703  148/175          175      1
646  0.846191    11/13           13      1
647  0.847168  194/229          229      2
648  0.847656  128/151          151      1
649  0.848145  162/191          191      1
650  0.849121  197/232          232      2
651  0.850098    17/20           20      1
652  0.850586    74/87           87      1
653  0.851562  109/128          128      2
654  0.852539  185/217          217      1
655  0.853516  134/157          157      1
656  0.855957  208/243          243      1
657  0.856445  173/202          202      1
658  0.856934      6/7            7      2
659  0.859375    55/64           64      1
660  0.860352  191/222          222      1
661  0.862305  119/138          138      1
662  0.862793  195/226          226      2
663  0.863281  120/139          139      2
664  0.863770  203/235          235      1
665  0.865234  122/141          141      1
